Quebra;Codigo;Descri��o;Quantidade;Faturamento
01/09/2026;2;COCA-COLA 2L;6;115,35
01/09/2026;3;COCA-COLA 2L ZERO;11;209,79
01/09/2026;4;H2O LIMONETO 500ML;18;170,16
01/09/2026;6;COCA-COLA LATA 350 ML;21;198,04
01/09/2026;7;COCA-COLA LATA ZERO 350ML;29;275,74
01/09/2026;19;MATTE LEAO PET 300ML;7;50,01
01/09/2026;24;FANTA UVA LATA;2;16,59
01/09/2026;37;PUDIM PQ;4;55,18
01/09/2026;39;GUARANA ANTARTICA 2L ZERO;2;29,8
01/09/2026;41;GUARANA ANTARTICA 600ML;1;11,9
01/09/2026;42;GUARANA ANTARTICA LATA;2;16,53
01/09/2026;50;AGUA C/G 15L;2;15,8
01/09/2026;51;AGUA C/G 500ML;31;194,91
01/09/2026;54;MATTE LEAO 1 5 L;2;25,8
01/09/2026;56;ICE TEA 15 L PESSEGO;2;25,8
01/09/2026;60;GUARAVITA;59;176,63
01/09/2026;61;BOLO PRESTIGIO KG;1,756;96,41
01/09/2026;62;GUARAVITON;7;51,75
01/09/2026;88;CATARINA SABORES UN;5;171,15
01/09/2026;96;BOLO PISCINA DE LIMAO;2;69,82
01/09/2026;100;QUEIJO MINAS KG;0,398;24,56
01/09/2026;106;MARGARINA QUALY 500 GR;3;41,7
01/09/2026;107;REQUEIJAO ELEGE 200 GR;3;41,7
01/09/2026;114;PRESTIGIO;4;25,47
01/09/2026;119;TODDYNHO;7;34,3
01/09/2026;123;RED BULL ORIGINAL;2;27,8
01/09/2026;136;CREME DE LEITE 200G;2;11,8
01/09/2026;164;MAIONESE HEINZ 215GR;1;15,9
01/09/2026;166;LEITE ZERO LACTOSE 1L;1;9,9
01/09/2026;167;LEITE INTEGRAL 1L;1;9,9
01/09/2026;173;OVOS 1 DUZIA;1;15,9
01/09/2026;175;QUINDIM PQ;4;37,21
01/09/2026;200;QUEIJO PRATO KG;2,74;232,65
01/09/2026;240;FARINHA DE ROSCA;0,33;8,58
01/09/2026;255;FERRERO ROCHER 375 GR;1;14,9
01/09/2026;300;QUEIJO MUSSARELA KG;3,666;311,98
01/09/2026;333;HALLS SABORES 28GR;13;39
01/09/2026;341;TIC TAC LARANJA;1;3,9
01/09/2026;346;GALAK NESTLE 90GR;1;13,9
01/09/2026;347;MENTOS 37G;10;47,42
01/09/2026;348;KIT KAT CHOCOLATE 41 GR;3;24,33
01/09/2026;350;M&M'S CHOCOLATE 30GR;2;14,41
01/09/2026;351;POLENGUINHO 17G;8;15,92
01/09/2026;359;DIVERSOS;12;104,78
01/09/2026;400;PRESUNTO SEARA KG;0,624;34,26
01/09/2026;408;CAFE ESPRESSO PEQUENO;13;111,96
01/09/2026;409;CAFE ESPRESSO GRANDE;8;86,54
01/09/2026;410;COPO DE LEITE QUENTE OU FRIO;1;6,49
01/09/2026;411;MISTO AMERICANO;1;19,69
01/09/2026;414;CAPUCCINO ITALIANO;10;162,08
01/09/2026;416;CAFE COADO P;12;90,47
01/09/2026;418;NESCAU QUENTE OU GELADO COPO;1;11,9
01/09/2026;424;COCA-COLA 600 ML;7;83,7
01/09/2026;425;COCA-COLA ZERO 600 ML;11;137,61
01/09/2026;434;GATORADE LIMAO 500ML;1;9,9
01/09/2026;436;GATORADE UVA;1;9,9
01/09/2026;437;AGUA S/G 500ML;10;63,67
01/09/2026;442;PAO DE HAMBURGUER;1;12,9
01/09/2026;446;BOLO FITA  SABORES;1;14,9
01/09/2026;449;SONHO CREME;7;63,77
01/09/2026;460;SUCO DE LARANJA 300ML;21;292,3
01/09/2026;461;PAO COM MANTEIGA;2;6,58
01/09/2026;462;PAO NA CHAPA;27;170,69
01/09/2026;464;MISTO QUENTE;12;168,03
01/09/2026;465;QUEIJO QUENTE;5;67,57
01/09/2026;466;MINAS C PEITO DE PERU;4;82,28
01/09/2026;468;PAO COM OVO;30;373,35
01/09/2026;478;PAO DOCE DE BANANA;12;123,38
01/09/2026;479;LUA DE MEL DOCE DE LEITE;10;60,8
01/09/2026;482;BOLO FUBA COM GOIABADA;2;53,8
01/09/2026;488;EMPADAO FRANGO;9;152,1
01/09/2026;495;CAFE COADO G;26;251,11
01/09/2026;499;SONHO NUTELLA;13;154,7
01/09/2026;500;MORTADELA OURO  KG;4,426;220,91
01/09/2026;508;ADD QUEIJO PRATO OU MUSSARELA;1;5,39
01/09/2026;512;COCA COLA 310 ML LATA;1;6,49
01/09/2026;518;CAFE ESPRESSO COM LEITE G;3;37,97
01/09/2026;527;PIPOCA MICROONDAS YOKI MANTEIGA 100G;1;6,9
01/09/2026;533;PAO AUSTRALIANO;0,232;14,59
01/09/2026;534;SALGADOS KG;12,233;736,76
01/09/2026;548;DUNHILL CARLTON;35;587,35
01/09/2026;550;CAFE COM LEITE G;25;323,12
01/09/2026;557;RABANADA;6;54,17
01/09/2026;558;BOLO CHURROS;2;69,8
01/09/2026;560;FOCACCIA;3,74;227,5
01/09/2026;599;PROMO-SALGADOS;299,654;355,09
01/09/2026;624;COCADA UN;4;35,6
01/09/2026;625;QUICHE DE CAMARAO;5;96,39
01/09/2026;627;TORTA FATIA;6;123,07
01/09/2026;631;BRIOCHE SIMPLES;1,082;61,56
01/09/2026;632;ROCAMBOLE SABORES;2;38,82
01/09/2026;635;CAVACA KG;1,26;63,91
01/09/2026;636;CIABATTA;4;19,6
01/09/2026;637;TARTELETE LIMAO;5;50,49
01/09/2026;650;PAO CACHORRO QUENTE;0,184;10,47
01/09/2026;664;BOLO LARANJA GR;8;159,2
01/09/2026;671;TORRADA PETROPOLIS COM OVOS E BACON;4;105,16
01/09/2026;676;MANTEIGA PRESIDENT 200G C SAL BARRA;1;22,9
01/09/2026;678;ESFIHA SABORES;28;224,56
01/09/2026;709;M&MS 45G AO LEITE;1;6,9
01/09/2026;715;SALAME FATIADO PERDIGAO 100G;1;18,9
01/09/2026;732;PAO PLUS VITA TRADICIONAL;1;13,9
01/09/2026;771;SALADA DE FRUTAS 150ML;3;29,71
01/09/2026;773;PASTEL DE BELEM;1;10,89
01/09/2026;800;PAO FRANCES;68,865;1717,87
01/09/2026;801;BOLO CHOCOLATE REDONDO;1;29,9
01/09/2026;807;SONHO DOCE DE LEITE;20;179,61
01/09/2026;808;DONUTS RING;2;20,79
01/09/2026;811;BOLO PISCINA NUTELLA;5;194,5
01/09/2026;812;BRIGADEIRO;42;211,39
01/09/2026;822;LUCKY STRIKE MINT;5;75,75
01/09/2026;827;ADD BACON 3 FATIAS;4;37,96
01/09/2026;838;OVOS MEXIDOS 2 UNID;12;102,53
01/09/2026;842;ICE TEA PESSEGO 300 ML;2;14,8
01/09/2026;849;RED BULL TROPICAL;1;13,9
01/09/2026;852;TAPIOCA MINAS COM PEITO DE PERU;1;25,47
01/09/2026;858;ISQUEIRO PEQUENO;2;13
01/09/2026;902;DUNHILL AZUL BOX;2;33,5
01/09/2026;925;BOLO DE POTE;3;46,41
01/09/2026;929;FRUITTELLA 40G;7;35,1
01/09/2026;941;SUCO LARANJA INTEG 900ML CAMPO LARGO;1;19,9
